year,month,Symbol,Closing,Date,MAX
13,02,ALHE,1892.431075,13/02,3766.5664666666667
13,03,ALHE,1894.729588888889,13/03,3766.5664666666667
13,04,ALHE,1896.1790736842104,13/04,3766.5664666666667
13,05,ALHE,1982.0506099999996,13/05,3766.5664666666667
13,06,ALHE,1955.200347619047,13/06,3766.5664666666667
13,07,ALHE,1959.9326954545459,13/07,3766.5664666666667
13,08,ALHE,1911.6548666666667,13/08,3766.5664666666667
13,09,ALHE,1908.2777625000003,13/09,3766.5664666666667
13,10,ALHE,1989.0360956521738,13/10,3766.5664666666667
13,11,ALHE,2018.4572999999996,13/11,3766.5664666666667
13,12,ALHE,1974.4317173913046,13/12,3766.5664666666667
14,01,ALHE,1967.7331318181816,14/01,3766.5664666666667
14,02,ALHE,1959.571455,14/02,3766.5664666666667
14,03,ALHE,2077.7807571428575,14/03,3766.5664666666667
14,04,ALHE,2115.0230111111105,14/04,3766.5664666666667
14,05,ALHE,2139.0521947368416,14/05,3766.5664666666667
14,06,ALHE,2271.9961,14/06,3766.5664666666667
14,07,ALHE,2233.633865217391,14/07,3766.5664666666667
14,08,ALHE,2222.550835,14/08,3766.5664666666667
14,09,ALHE,2315.0532600000006,14/09,3766.5664666666667
14,10,ALHE,2252.8555055555553,14/10,3766.5664666666667
14,11,ALHE,2241.457276190476,14/11,3766.5664666666667
14,12,ALHE,2286.8660739130437,14/12,3766.5664666666667
15,01,ALHE,2323.9096380952383,15/01,3766.5664666666667
15,02,ALHE,2536.270215,15/02,3766.5664666666667
15,03,ALHE,2611.879038095238,15/03,3766.5664666666667
15,04,ALHE,2752.4622210526313,15/04,3766.5664666666667
15,05,ALHE,2759.8884699999994,15/05,3766.5664666666667
15,06,ALHE,2622.0668045454545,15/06,3766.5664666666667
15,07,ALHE,2617.0726809523803,15/07,3766.5664666666667
15,08,ALHE,2681.7293000000004,15/08,3766.5664666666667
15,09,ALHE,2613.8101533333333,15/09,3766.5664666666667
15,10,ALHE,2641.812673684211,15/10,3766.5664666666667
15,11,ALHE,2622.2559499999993,15/11,3766.5664666666667
15,12,ALHE,2592.824039130435,15/12,3766.5664666666667
16,01,ALHE,2562.438057142858,16/01,3766.5664666666667
16,02,ALHE,2476.7022523809524,16/02,3766.5664666666667
16,03,ALHE,2633.6355954545447,16/03,3766.5664666666667
16,04,ALHE,2811.797878947368,16/04,3766.5664666666667
16,05,ALHE,2908.1683333333335,16/05,3766.5664666666667
16,06,ALHE,2940.443714285714,16/06,3766.5664666666667
16,07,ALHE,3041.0974523809523,16/07,3766.5664666666667
16,08,ALHE,3332.4109000000008,16/08,3766.5664666666667
16,09,ALHE,3247.224538095238,16/09,3766.5664666666667
16,10,ALHE,3130.4245461538458,16/10,3766.5664666666667
16,11,ALHE,2995.043059090909,16/11,3766.5664666666667
16,12,ALHE,2955.099085714286,16/12,3766.5664666666667
17,01,ALHE,3009.4252869565216,17/01,3766.5664666666667
17,02,ALHE,3039.7137299999995,17/02,3766.5664666666667
17,03,ALHE,3250.1289666666667,17/03,3766.5664666666667
17,04,ALHE,3350.6506705882352,17/04,3766.5664666666667
17,05,ALHE,3441.6736473684214,17/05,3766.5664666666667
17,06,ALHE,3469.8365380952378,17/06,3766.5664666666667
17,07,ALHE,3506.390563636364,17/07,3766.5664666666667
17,08,ALHE,3575.1977863636366,17/08,3766.5664666666667
17,09,ALHE,3766.5664666666667,17/09,3766.5664666666667
17,10,ALHE,3732.315789473684,17/10,3766.5664666666667
17,11,ALHE,3670.909090909091,17/11,3766.5664666666667
17,12,ALHE,3676.9523809523807,17/12,3766.5664666666667
18,01,ALHE,3661.5652173913045,18/01,3766.5664666666667
18,02,ALHE,3346.625,18/02,3766.5664666666667
13,02,AMOT,727.1800000000001,13/02,2104.0
13,03,AMOT,728.4367722222222,13/03,2104.0
13,04,AMOT,746.893142105263,13/04,2104.0
13,05,AMOT,761.599935,13/05,2104.0
13,06,AMOT,773.3166904761906,13/06,2104.0
